city,state,traffic_volume,avg_speed_kmh,congestion_level,weather_condition,incident_type,road_type,lane_closure
San Antonio,PA,518,43.44,Low,Clear,Breakdown,Urban,Yes
Houston,TX,1394,34.25,High,Snow,Construction,Urban,Yes
San Diego,AZ,928,18.87,Low,Clear,Construction,Highway,No
Phoenix,PA,4512,12.89,Low,Cloudy,Construction,Urban,Yes
San Antonio,AZ,3959,21.63,Low,Rain,Accident,Rural,Yes
San Jose,AZ,3857,91.63,Medium,Snow,Construction,Highway,No
Chicago,TX,4786,47.84,High,Cloudy,Accident,Urban,No
San Antonio,AZ,2991,13.02,Medium,Rain,Accident,Urban,Yes
San Diego,IL,3395,65.9,High,Rain,None,Highway,Yes
Phoenix,NY,638,68.97,Low,Cloudy,Accident,Urban,Yes
Houston,TX,3933,57.16,High,Fog,Accident,Expressway,No
San Diego,NY,1379,22.18,High,Fog,None,Urban,No
San Diego,IL,141,93.05,Medium,Snow,Construction,Expressway,No
Chicago,CA,507,85.8,Medium,Fog,Construction,Urban,No
Philadelphia,CA,3391,53.42,Low,Snow,Accident,Rural,No
Phoenix,PA,1934,51.89,Low,Cloudy,None,Expressway,No
Los Angeles,CA,3171,27.15,Medium,Fog,None,Highway,No
San Diego,TX,2089,92.89,High,Fog,None,Rural,No
Philadelphia,CA,1453,75.95,High,Clear,Construction,Rural,Yes
Los Angeles,TX,3753,19.44,Low,Clear,Breakdown,Urban,No
Phoenix,TX,4532,51.59,Low,Rain,None,Rural,No
New York,NY,2031,109.39,Low,Clear,None,Urban,No
San Jose,CA,1842,59.76,High,Cloudy,Accident,Expressway,Yes
Philadelphia,AZ,4516,45.74,High,Snow,None,Highway,No
Dallas,CA,2281,80.82,Low,Snow,None,Rural,Yes
New York,CA,821,32.33,High,Clear,Accident,Rural,Yes
San Jose,CA,254,67.62,High,Clear,Construction,Highway,Yes
Chicago,PA,2269,83.65,High,Snow,None,Urban,No
San Antonio,AZ,4970,104.04,High,Rain,None,Urban,No
Houston,AZ,271,86.18,High,Fog,Construction,Rural,No
Dallas,TX,1241,52.29,High,Rain,Breakdown,Highway,No
Chicago,AZ,3365,94.46,Low,Cloudy,Accident,Highway,Yes
